id,author,geometry,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
14483,Beus,,11.03,2710.0,0.0886,,,2134.0,1.6
14867,Thompson,tube,13.79,2360.0,0.0857,7.8,7.8,591.0,2.3
18151,Janssen,annulus,6.89,2767.0,-0.0943,,38.1,,3.6
1947,Thompson,tube,6.89,7880.0,-0.0614,10.3,10.3,794.0,8.8
31398,,,3.45,3784.0,0.0406,10.3,10.3,762.0,4.4
16751,Thompson,tube,13.79,5533.0,-0.2106,4.7,4.7,318.0,6.4
17686,Thompson,,,3933.0,-0.1438,3.6,3.6,76.0,4.8
25798,Beus,annulus,11.03,3665.0,-0.0943,5.6,15.2,2134.0,2.1
2051,Thompson,tube,17.24,,-0.0594,1.9,1.9,,4.4
13078,Beus,annulus,11.03,3665.0,-0.1197,,15.2,2134.0,2.1
20187,Thompson,tube,6.89,5371.0,-0.0416,10.3,10.3,794.0,6.7
12254,Weatherhead,tube,13.79,1356.0,0.0211,7.7,7.7,457.0,4.0
1686,Thompson,tube,13.79,1356.0,0.08,7.8,7.8,591.0,2.3
10748,Peskov,tube,,1000.0,-0.0472,10.0,10.0,565.0,2.2
635,Peskov,tube,10.0,3770.0,-0.0187,10.0,10.0,565.0,3.9
24851,Janssen,annulus,6.89,2319.0,-0.0251,12.7,38.1,914.0,4.5
9771,,tube,6.89,6103.0,-0.0629,10.3,,,6.5
26533,Thompson,tube,6.89,,0.0229,23.6,23.6,,2.5
497,,tube,13.79,759.0,0.0981,7.8,,591.0,2.1
26024,,tube,3.45,7473.0,-0.0517,5.7,5.7,,5.7
27112,Janssen,annulus,6.89,1519.0,0.0052,8.5,24.6,,3.6
19191,Thompson,tube,,6388.0,-0.0483,10.3,10.3,794.0,3.9
12101,Thompson,tube,,1899.0,0.0336,7.8,7.8,591.0,2.9
4925,Thompson,,,,-0.0331,1.9,1.9,152.0,2.4
25983,Thompson,tube,6.93,,0.0538,,5.6,432.0,3.7
19295,Thompson,tube,6.89,4123.0,0.099,5.6,5.6,432.0,3.6
27595,Thompson,tube,13.79,6198.0,-0.1046,4.7,,318.0,6.7
22083,Thompson,tube,13.79,,0.0243,7.8,7.8,591.0,1.5
16395,Thompson,tube,13.79,2428.0,-0.0577,1.9,1.9,152.0,3.6
5410,Williams,tube,8.27,4096.0,0.0436,9.5,9.5,1836.0,6.0
19038,Thompson,,11.07,,0.0776,11.5,11.5,,2.9
4429,Thompson,,,3648.0,-0.1208,,1.9,696.0,6.7
27745,Thompson,tube,13.79,5316.0,-0.4486,4.7,,318.0,3.5
4411,Beus,annulus,13.79,3665.0,0.0424,5.6,15.2,2134.0,0.9
6521,Peskov,tube,12.0,4986.0,0.0442,10.0,,1000.0,4.5
25554,Thompson,tube,13.79,2061.0,-0.1381,4.7,4.7,318.0,7.1
175,Weatherhead,tube,,1533.0,0.0392,11.1,11.1,457.0,2.6
24344,,tube,6.89,5479.0,-0.0054,,37.5,,7.3
592,,plate,0.2,1000.0,-0.0218,15.0,120.0,10.0,5.0
15191,Thompson,tube,18.27,842.0,-0.065,,,150.0,2.6
29620,Thompson,,12.07,4042.0,-0.0428,1.9,1.9,152.0,3.6
18733,Thompson,tube,10.34,4842.0,-0.0443,10.3,10.3,762.0,6.8
8396,Thompson,tube,,4069.0,-0.0847,11.5,11.5,914.0,5.0
23632,Thompson,tube,6.89,4069.0,0.0803,12.8,12.8,1930.0,4.1
4477,Thompson,,,3282.0,-0.0298,7.8,,591.0,9.3
9672,Thompson,tube,13.79,,-0.0593,,4.7,318.0,5.4
22428,,tube,13.79,2773.0,0.0627,9.5,9.5,1836.0,1.6
28235,Thompson,,13.79,1356.0,0.0674,4.7,4.7,318.0,2.2
22884,,tube,,3052.0,0.0073,9.5,9.5,,3.4
20637,Weatherhead,tube,,2645.0,0.0081,7.7,7.7,457.0,2.9
18871,Thompson,,13.79,5249.0,-0.0254,,4.7,,4.1
12536,Beus,annulus,13.79,671.0,0.0748,5.6,15.2,2134.0,2.4
29023,Thompson,tube,15.51,,0.1106,1.9,1.9,152.0,1.4
4857,Thompson,,6.89,,0.1887,5.6,5.6,432.0,4.0
30586,Richenderfer,plate,0.2,2000.0,-0.0123,15.0,120.0,10.0,3.6
18450,Weatherhead,tube,,678.0,0.0976,7.7,7.7,457.0,2.3
10378,Thompson,tube,13.79,1063.0,0.0001,4.7,4.7,318.0,3.8
25712,Thompson,tube,10.34,,-0.1171,10.3,10.3,762.0,4.8
14229,Richenderfer,plate,0.1,,-0.0457,15.0,120.0,10.0,6.8
19840,Thompson,tube,6.89,7690.0,-0.0428,10.3,10.3,794.0,7.5
29698,Janssen,annulus,9.68,5655.0,0.0329,12.7,42.3,914.0,2.0
30747,,annulus,,,0.0384,12.7,42.3,1778.0,3.8
30444,Thompson,tube,13.79,,0.0845,,7.8,591.0,2.0
9359,,tube,15.51,2034.0,-0.0258,,1.9,152.0,4.9
915,Peskov,tube,18.0,1000.0,-0.1248,10.0,10.0,565.0,1.5
14581,Thompson,tube,11.03,2712.0,0.0886,11.5,11.5,,2.5
24,Thompson,tube,,2143.0,0.0332,7.8,7.8,,2.9
11987,,tube,10.0,1288.0,-0.0297,10.0,10.0,660.0,4.3
10309,Beus,annulus,13.79,2729.0,0.1848,5.6,15.2,2134.0,1.8
9223,Weatherhead,tube,13.79,1370.0,-0.3469,7.7,,,6.9
16932,Thompson,tube,12.07,3296.0,-0.0331,,1.9,696.0,3.2
3713,Weatherhead,tube,13.79,1668.0,0.0086,,7.7,457.0,2.2
25508,Janssen,,9.68,2292.0,0.1167,12.7,42.3,1778.0,2.1
31417,Thompson,,13.79,1383.0,0.1693,7.7,7.7,457.0,2.3
29837,Janssen,annulus,9.71,1519.0,0.0235,12.7,42.3,1778.0,1.5
9736,Thompson,tube,3.45,5900.0,0.0709,,10.3,762.0,4.6
23120,Thompson,,3.9,3797.0,0.1078,10.8,10.8,432.0,4.6
6730,Thompson,tube,,1655.0,-0.0487,7.7,7.7,457.0,2.8
15718,Thompson,tube,,5791.0,-0.4456,4.7,4.7,318.0,3.9
31383,,tube,,1617.0,-0.0415,,10.0,890.0,3.3
20731,Janssen,annulus,6.89,5520.0,0.0208,12.7,38.1,914.0,2.7
7122,Thompson,tube,11.03,4069.0,0.0598,11.5,11.5,1524.0,2.8
2943,Thompson,,18.96,2726.0,-0.363,1.9,1.9,696.0,2.6
11819,Williams,tube,13.79,2773.0,-0.0122,9.5,9.5,1836.0,3.8
20397,Thompson,tube,,4042.0,0.0423,10.8,10.8,,2.9
15274,Thompson,tube,13.79,2658.0,-0.1258,,1.9,,2.7
5648,Thompson,tube,18.27,310.0,-0.0325,3.0,3.0,150.0,4.8
16943,Thompson,tube,10.34,4842.0,-0.0029,10.3,10.3,762.0,4.0
27811,Thompson,,13.79,639.0,-0.1208,,4.7,305.0,2.9
22140,Thompson,tube,13.79,1465.0,0.0975,7.8,7.8,591.0,2.0
20279,Weatherhead,tube,,1078.0,-0.0443,11.1,11.1,457.0,2.7
30436,Weatherhead,tube,13.79,1655.0,-0.1272,7.7,7.7,457.0,2.5
30561,Thompson,tube,,1397.0,0.064,,7.7,457.0,2.8
2967,Janssen,annulus,6.89,382.0,0.1698,22.2,96.3,1778.0,4.3
16191,Thompson,tube,13.79,7391.0,0.0103,4.7,,318.0,3.6
15935,Thompson,tube,10.34,5357.0,-0.1224,10.3,10.3,762.0,3.4
11956,Thompson,,10.34,5967.0,-0.0987,10.3,10.3,,4.6
25198,Thompson,,,4069.0,0.0179,11.5,11.5,1524.0,2.9
28095,Thompson,tube,18.27,861.0,-0.0276,3.0,3.0,35.0,3.1
15206,Weatherhead,tube,13.79,685.0,-0.0034,11.1,11.1,,2.0
986,Thompson,tube,3.45,3784.0,-0.0087,10.3,10.3,762.0,3.2
14423,Thompson,,13.79,3255.0,0.0863,,4.7,318.0,2.0
1128,Thompson,tube,10.34,7880.0,-0.0801,10.3,,762.0,8.6
3099,Weatherhead,,13.79,1355.0,0.0847,7.7,7.7,457.0,2.2
20573,Beus,,8.27,1358.0,0.0202,5.6,15.2,2134.0,1.9
25143,,annulus,,1519.0,0.1212,8.5,22.3,2591.0,2.1
21975,Thompson,tube,6.89,1316.0,-0.1479,37.5,37.5,1953.0,3.8
17836,Janssen,annulus,,2292.0,0.0245,12.7,42.3,2743.0,2.4
25782,Thompson,tube,6.89,7269.0,-0.0259,10.3,,762.0,4.0
24012,,tube,6.89,,0.0534,,,794.0,2.8
25516,Thompson,tube,6.86,4055.0,0.0107,10.8,,864.0,3.7
5065,Thompson,tube,13.79,2306.0,0.0196,7.8,7.8,591.0,2.7
11333,,tube,15.51,2710.0,0.1103,10.0,,,1.8
23633,Thompson,tube,13.79,903.0,0.0209,4.7,4.7,318.0,4.6
8857,Thompson,tube,,4136.0,0.0887,10.8,,,3.9
5413,Beus,annulus,,2712.0,0.0831,,5.6,2134.0,1.5
16691,Thompson,tube,6.89,3852.0,0.099,5.6,5.6,432.0,4.2
10926,Thompson,tube,13.79,739.0,-0.3491,7.7,7.7,457.0,5.1
8430,Janssen,annulus,6.89,5533.0,-0.0467,12.7,38.1,914.0,5.0
3527,Janssen,annulus,6.89,5642.0,-0.0015,6.4,15.9,914.0,4.8
64,Thompson,tube,6.89,5533.0,-0.0251,,,762.0,7.5
17270,,,15.51,,-0.0987,1.9,1.9,,10.8
12849,Thompson,tube,6.86,4048.0,-0.0434,,10.8,864.0,4.0
14419,Thompson,tube,,4096.0,-0.0188,10.8,10.8,432.0,3.5
31164,Janssen,,6.92,,0.1001,8.5,22.3,2743.0,3.9
12895,Weatherhead,tube,13.79,1349.0,-0.0404,11.1,,457.0,2.7
22030,,,13.79,2631.0,0.0928,,7.7,,1.8
21050,Weatherhead,tube,13.79,913.0,0.0196,11.1,11.1,457.0,2.6
21829,Thompson,tube,6.89,,0.0639,10.8,10.8,864.0,2.4
2913,Thompson,tube,13.79,6198.0,0.0128,4.7,4.7,318.0,1.5
26522,Thompson,tube,3.9,,0.0142,10.8,10.8,432.0,4.6
11445,Thompson,tube,13.79,1339.0,-0.1756,7.7,,457.0,3.8
27955,Thompson,tube,6.89,,-0.0263,9.3,9.3,762.0,4.4
17992,Williams,tube,13.79,4069.0,0.0049,9.5,9.5,1836.0,2.0
11234,Thompson,tube,13.79,2862.0,0.0001,4.7,4.7,318.0,5.0
17637,Weatherhead,tube,13.79,1356.0,0.0032,7.7,7.7,457.0,1.6
26377,Thompson,tube,10.34,5832.0,-0.0172,10.3,,762.0,4.0
22129,Beus,,15.51,1344.0,-0.201,5.6,15.2,2134.0,2.1
19638,Thompson,tube,,1370.0,-0.1438,3.6,3.6,76.0,4.3
23704,,tube,13.79,6429.0,-0.0794,4.7,4.7,318.0,5.4
17903,Weatherhead,tube,13.79,,-0.0573,7.7,7.7,457.0,3.5
22271,Weatherhead,,,1318.0,-0.0446,11.1,11.1,457.0,2.0
25075,Janssen,annulus,6.92,2278.0,0.004,,,,4.0
24970,,annulus,6.96,,0.0032,,11.3,,4.6
1811,Janssen,annulus,9.65,5547.0,0.0477,12.7,42.3,1778.0,2.8
7202,Thompson,tube,,3635.0,-0.0668,5.6,5.6,,5.2
23024,Thompson,plate,0.1,2000.0,-0.0218,15.0,,10.0,5.5
11582,,tube,3.86,1533.0,0.0196,10.8,,432.0,4.3
23273,,,15.51,3690.0,0.0027,5.6,15.2,2134.0,3.4
14167,Weatherhead,tube,13.79,1356.0,-0.0111,7.7,7.7,457.0,2.1
27394,Thompson,tube,3.45,5967.0,0.0051,10.3,10.3,762.0,3.0
13194,Thompson,tube,10.34,7920.0,-0.3491,,10.3,762.0,7.5
15332,Thompson,tube,,5249.0,-0.0071,,5.7,625.0,7.5
3790,,tube,18.96,,-0.1334,1.9,1.9,152.0,3.9
4344,Thompson,tube,6.86,4054.0,0.0117,10.8,10.8,864.0,3.0
1544,,tube,0.1,1000.0,-0.0102,,120.0,,10.6
28703,Thompson,tube,,1370.0,-0.0375,,7.7,457.0,3.6
31061,Thompson,,,1260.0,0.0885,7.8,7.8,,2.3
21457,Janssen,annulus,6.91,,0.0063,12.7,,914.0,4.3
31287,Thompson,,6.89,,0.0114,10.8,10.8,,4.6
1098,Thompson,,,4055.0,0.0618,10.8,10.8,432.0,3.9
7018,Thompson,tube,3.45,3892.0,-0.0385,10.3,10.3,762.0,9.0
16177,Thompson,,6.86,,0.0114,,12.4,610.0,4.0
23897,Beus,annulus,13.79,,0.0537,,15.2,2134.0,1.4
26683,Beus,annulus,11.03,2740.0,0.1232,5.6,15.2,2134.0,2.5
16837,,,,553.0,-0.0158,,38.1,737.0,3.1
24853,,,18.27,,-0.0137,3.0,3.0,35.0,2.9
814,Janssen,annulus,6.89,1519.0,0.1212,12.7,,1778.0,2.0
201,Thompson,tube,13.79,639.0,-0.0001,4.7,4.7,318.0,3.7
24525,Thompson,tube,10.34,7880.0,-0.1179,,10.3,762.0,7.3
24975,Beus,annulus,15.51,1340.0,0.2201,5.6,15.2,2134.0,2.1
12712,Thompson,tube,13.79,4204.0,0.0514,4.6,4.6,295.0,4.2
351,Thompson,tube,13.79,5208.0,-0.0349,5.7,5.7,625.0,3.5
7407,Thompson,tube,13.79,4136.0,-0.0306,4.7,4.7,,5.5
5324,Thompson,tube,11.1,3391.0,0.0583,11.5,,,2.6
13251,Thompson,tube,13.79,3784.0,-0.0367,4.7,4.7,318.0,4.5
12566,Thompson,tube,12.07,3838.0,-0.0444,1.9,1.9,696.0,4.3
9477,Beus,annulus,13.79,,0.0334,,15.2,2134.0,1.8
17397,Thompson,tube,13.79,2658.0,0.0948,7.7,7.7,457.0,1.8
2925,Thompson,tube,10.34,6200.0,-0.0846,10.3,10.3,794.0,7.1
8270,Thompson,tube,18.96,913.0,-0.1926,1.9,1.9,696.0,2.4
2383,Weatherhead,tube,13.79,678.0,0.0948,7.7,7.7,457.0,2.6
14425,,annulus,6.89,1519.0,0.1988,8.5,22.3,1829.0,2.2
12172,Thompson,tube,15.51,2455.0,-0.0434,,,152.0,4.1
9763,Weatherhead,tube,13.79,1326.0,-0.0034,,11.1,457.0,2.7
15912,,tube,,2848.0,-0.1438,4.7,,318.0,5.3
6136,Thompson,tube,,3146.0,-0.0296,1.9,1.9,152.0,4.9
3989,Thompson,tube,6.89,,-0.0482,10.3,10.3,762.0,6.4
1263,,tube,3.45,4448.0,0.0032,10.3,10.3,762.0,4.9
25181,Thompson,tube,6.72,2034.0,-0.0137,,10.8,432.0,4.3
18846,Thompson,tube,6.89,4069.0,0.0334,10.8,10.8,,4.4
31068,Thompson,,,5316.0,-0.3201,4.7,4.7,318.0,9.5
2666,Thompson,tube,,3784.0,-0.0415,10.8,,432.0,5.4
87,,tube,6.89,,-0.1342,37.5,37.5,1953.0,3.8
0,Thompson,tube,7.0,3770.0,0.1754,,10.8,432.0,3.6
14065,Thompson,tube,18.27,1316.0,-0.1005,3.0,3.0,150.0,2.5
29206,Thompson,tube,6.79,1858.0,0.1651,10.8,,432.0,4.0
9117,Janssen,annulus,,5533.0,-0.0512,12.7,38.1,914.0,3.0
13357,Thompson,,12.07,3811.0,-0.0411,1.9,,152.0,4.2
12419,Beus,annulus,13.79,3678.0,0.089,5.6,15.2,2134.0,1.5
3202,Thompson,tube,12.07,2563.0,-0.1023,,,152.0,5.2
5441,,tube,13.79,,0.0192,4.7,,318.0,3.2
31624,Weatherhead,tube,13.79,963.0,0.1693,7.7,7.7,457.0,1.5
28713,Thompson,,13.79,7025.0,-0.112,4.7,4.7,318.0,3.5
9136,Thompson,tube,3.9,,0.1272,10.8,10.8,864.0,3.6
7172,,annulus,8.27,1364.0,0.1219,5.6,15.2,2134.0,1.5
3397,,tube,13.79,1383.0,-0.1303,7.7,7.7,457.0,1.5
